55232,"2017-12-30 00:00:00",Huddersfield,Burnley,9796,8191,"2018-01-01 00:00:00",2.37,3.1,3.5,2.3,3.1,3.4,2.6,3.1,2.9,2.3,2.9,3.4,2.32,3.16,3.67,2.38,2.9,3.4,2.44,3.03,3.58,2.4,3.0,3.6
55281,"2018-05-06 00:00:00",Arsenal,Burnley,9825,8191,"2018-05-10 00:00:00",1.57,4.2,6.5,1.53,4.2,6.25,1.5,4.2,6.5,1.53,4.2,5.8,1.57,4.35,6.47,1.57,3.75,7.0,1.47,4.79,7.45,1.55,4.33,6.5
55284,"2018-05-06 00:00:00",Chelsea,Liverpool,8455,8650,"2018-05-10 00:00:00",2.25,3.6,3.29,2.15,3.5,3.3,2.2,3.4,3.3,2.2,3.5,3.1,2.29,3.66,3.22,2.25,3.3,3.4,2.24,3.61,3.37,2.25,3.6,3.25
55294,"2018-01-20 00:00:00",Brighton,Chelsea,10204,8455,"2018-01-22 00:00:00",6.5,3.89,1.61,6.0,3.8,1.6,5.7,3.9,1.6,6.0,3.6,1.6,6.33,3.9,1.65,6.5,3.75,1.62,7.0,3.85,1.62,6.5,3.9,1.62
55305,"2018-01-13 00:00:00",Watford,Southampton,9817,8466,"2018-01-15 00:00:00",2.5,3.39,3.0,2.4,3.3,3.0,2.4,3.3,2.95,2.45,3.25,2.87,2.5,3.48,3.01,2.5,3.25,3.0,2.79,3.35,2.75,2.55,3.4,3.0
55306,"2018-01-13 00:00:00","Crystal Palace",Burnley,9826,8191,"2018-01-15 00:00:00",2.0,3.29,4.5,2.0,3.2,4.2,2.0,3.3,4.0,2.0,3.2,4.0,2.02,3.3,4.51,2.05,3.1,4.33,2.18,3.22,3.98,2.0,3.3,4.4
55315,"2017-09-09 00:00:00",Southampton,Watford,8466,9817,"2017-09-11 00:00:00",1.65,4.0,6.0,1.65,3.8,5.5,1.65,3.8,5.3,1.61,3.7,5.5,1.67,3.96,5.95,1.67,3.6,5.5,1.69,3.99,5.58,1.65,4.0,6.0
55330,"2017-08-26 00:00:00",Huddersfield,Southampton,9796,8466,"2017-08-27 00:00:00",3.9,3.4,2.1,3.9,3.2,2.1,3.15,3.3,2.3,3.75,3.2,2.05,4.01,3.45,2.08,3.8,3.1,2.1,4.21,3.48,2.02,4.0,3.3,2.1
55333,"2017-08-26 00:00:00",Watford,Brighton,9817,10204,"2017-08-27 00:00:00",1.91,3.4,4.0,1.9,3.5,4.25,1.85,3.5,4.3,1.95,3.25,4.2,1.99,3.37,4.5,1.95,3.25,4.2,2.23,3.23,3.81,2.0,3.4,4.33
55340,"2017-11-18 00:00:00","Crystal Palace",Everton,9826,8668,"2017-11-20 00:00:00",2.39,3.25,3.29,2.4,3.25,3.1,2.6,3.25,2.75,2.3,3.1,3.2,2.37,3.3,3.4,2.4,3.2,3.2,2.24,3.25,3.75,2.38,3.25,3.4
